month,VTI_adjusted_close,VEA_adjusted_close,BND_adjusted_close,GLD_adjusted_close,VNQ_adjusted_close,SHY_adjusted_close,VTI_return,VEA_return,BND_return,GLD_return,VNQ_return,SHY_return,portfolio_return,benchmark_return,portfolio_value,benchmark_value
2011-01,50.63791275024414,23.03831672668457,50.95530700683594,129.8699951171875,31.08095359802246,66.51978302001953,0.02048405865665881,0.02157659257755684,0.0008722472155862082,-0.06379762129208244,0.03250867791271861,0.0013099090149555348,0.006959341370369065,0.01263933408022977,10069.593413703691,10126.393340802299
2011-02,52.51028823852539,23.880496978759766,51.10478210449219,137.66000366210938,32.54338455200195,66.43904113769531,0.03697576354531362,0.03655563303805631,0.0029334549517323616,0.05998312803425154,0.047052319336577275,-0.0012138025510384232,0.02929725275446908,0.023358840107881116,10364.604837079705,10362.93414371961
2011-03,52.73006057739258,23.28297233581543,51.02949905395508,139.86000061035156,32.01923370361328,66.35269927978516,0.004185319605729099,-0.025021449238506133,-0.001473111662685156,0.01598138086384293,-0.016106218071790246,-0.0012995650814889848,-0.0017195185304352376,0.0019219470983633967,10346.782707001708,10382.851154927663
2011-04,54.25722885131836,24.72449493408203,51.776512145996094,152.3699951171875,33.85922622680664,66.70709228515625,0.02896200492097556,0.06191316888046794,0.01463884823268935,0.08944654978008071,0.05746522668922349,0.005341048807626425,0.03661645811148332,0.023232742245661075,10725.645242581257,10624.073259585162
2011-05,53.68164825439453,24.05678367614746,52.387630462646484,149.63999938964844,34.3246955871582,66.9499282836914,-0.010608367015962017,-0.027006062599650882,0.011803002777151184,-0.017916885312225905,0.01374719425758908,0.003640332537612201,-0.00626581769350717,-0.0016438190987167357,10658.44030484601,10606.60920505489
2011-06,52.715599060058594,23.76348114013672,52.190853118896484,146.0,33.192237854003906,66.94676208496094,-0.01799589293081838,-0.012192092673699917,-0.0037561795029135148,-0.024325042799353547,-0.03299250623443195,-4.729204065834214e-05,-0.01405071014280059,-0.012300007559656434,10508.681649548276,10476.147831650394
2011-07,51.521034240722656,23.19560432434082,53.04005432128906,158.2899932861328,33.711368560791016,67.13829040527344,-0.022660556659424014,-0.023897038167389972,0.016271073409319436,0.08417803620638908,0.015640123726230915,0.0028609049093282213,0.000761845015868623,-0.007087904631926633,10516.687636286335,10401.893894909692
2011-08,48.38429641723633,21.204917907714844,53.919979095458984,177.72000122070312,31.817041397094727,67.36968994140625,-0.06088266413345844,-0.08582170952696433,0.016589816609911434,0.12274943937515781,-0.056192532210025514,0.003446610492105151,-0.023441220078330407,-0.029893671836110493,10270.16364690909,10090.94309234122
2011-09,44.72064208984375,18.80236053466797,54.278404235839844,158.05999755859375,28.367473602294922,67.3012466430664,-0.07571990498320946,-0.11330189456535311,0.006647353103500064,-0.11062347246832638,-0.10841887376476156,-0.0010159360745072288,-0.062155495641007814,-0.042773001748525656,9631.816535121194,9659.323165808237
2011-10,49.80323791503906,20.637035369873047,54.33949279785156,167.33999633789062,32.42154312133789,67.32440948486328,0.11365212098217148,0.0975768351969577,0.0011254671700791086,0.0587118747477946,0.14291260391672655,0.0003441666083798811,0.07341276646596681,0.06864145945733452,10338.914833057082,10322.353205279356
2011-11,49.61727523803711,20.20644760131836,54.30691909790039,170.1300048828125,31.18914222717285,67.3546371459961,-0.0037339475260462773,-0.020864807412370845,-0.0005994479939728237,0.016672693952307194,-0.03801179017151557,0.00044898516547120515,-0.004984032975838842,-0.0024801477132168955,10287.385340594737,10296.752244582265
2011-12,50.102081298828125,19.774585723876953,54.94795227050781,151.99000549316406,32.70193862915039,67.38975524902344,0.009770912619952998,-0.021372479020668078,0.011803895033187572,-0.10662433944055594,0.048503943807071126,0.0005213910209511674,-0.004557700249476599,0.010584105585246828,10240.498521861447,10405.734157524052
2012-01,52.642250061035156,20.885005950927734,55.2965202331543,169.30999755859375,34.7880973815918,67.445556640625,0.05069986508257984,0.05615390595566283,0.006343602413616534,0.11395480912860867,0.06379312175033602,0.0008280396834112747,0.04491547151433373,0.03295736001499452,10700.455341512694,10748.679684373898
2012-02,54.86296844482422,21.90503692626953,55.319000244140625,164.2899932861328,34.38776397705078,67.3506088256836,0.04218509621481403,0.04884034880040278,0.0004065357257843072,-0.029649780549572347,-0.011507769457747119,-0.0014077697578703807,0.020690969721693996,0.025473672019202143,10921.858138992271,11022.4880252931
2012-03,56.54595947265625,21.976720809936523,55.03809356689453,162.1199951171875,36.175994873046875,67.29871368408203,0.03067626626008435,0.003272484036811907,-0.00507794204534362,-0.013208340481005276,0.05200195328749779,-0.0007705222344147611,0.012732631102773244,0.01637458293791316,11060.922129632881,11202.976669645417
2012-04,56.18600082397461,21.453617095947266,55.64543533325195,161.8800048828125,37.21040725708008,67.43443298339844,-0.006365771348449845,-0.023802628177027274,0.011034934660649975,-0.0014803247076433657,0.02859388905994953,0.002016670035530188,-0.001975473616761885,0.0005945110551900841,11039.071569788734,11209.636963126559
2012-05,52.688087463378906,19.057687759399414,56.16384506225586,151.6199951171875,35.53375244140625,67.47276306152344,-0.062255958945259926,-0.11167950494466772,0.009316302871910986,-0.06338034010471139,-0.045058760149818244,0.0005684051370971055,-0.047887785362933574,-0.03362705421839156,10510.434879848628,10832.689893199016
2012-06,54.81938552856445,20.388042449951172,56.201141357421875,155.19000244140625,37.49417495727539,67.40727233886719,0.04045123229547687,0.0698067209069273,0.0006640623540763446,0.02354575543588089,0.055170714635382145,-0.0009706245851608397,0.03188209668884809,0.02453636431891666,10845.529580929802,11098.484718972395
2012-07,55.29914855957031,20.43970489501953,56.893348693847656,156.49000549316406,38.244842529296875,67.55591583251953,0.008751703916051179,0.002533958088187349,0.012316606383908857,0.008376847936764742,0.020020911858358525,0.0022051551486179655,0.008908915019651086,0.010177664903194251,10942.151482309418,11211.441377375317
2012-08,56.79351806640625,21.11134147644043,56.98500442504883,164.22000122070312,38.239131927490234,67.56075286865234,0.027023372796167955,0.03285940696651424,0.0016110096049080092,0.04939609851235338,-0.00014931691252917378,7.160048195942181e-05,0.021076736594378167,0.016858427519663974,11172.77632687784,11400.448649226759
2012-09,58.20843505859375,21.666629791259766,57.0882453918457,171.88999938964844,37.52666091918945,67.57194519042969,0.024913353501593294,0.026302843684235855,0.001811721659733534,0.046705627280061,-0.018631986982648674,0.000165663070675226,0.018110944900613504,0.01567270076484939,11375.125863320805,11579.124469491122
2012-10,57.157291412353516,21.897260665893555,57.03048324584961,166.8300018310547,37.18587875366211,67.52552032470703,-0.018058270166207535,0.010644520022529136,-0.001011804542241923,-0.029437416816341377,-0.009081068157414496,-0.0006870434999587394,-0.009311728463166925,-0.01123968391662129,11269.203780047214,11448.978770422826
2012-11,57.599853515625,22.490327835083008,57.06406021118164,166.0500030517578,37.08768081665039,67.54155731201172,0.00774288095771869,0.0270840804353758,0.0005887547048704089,-0.004675410721908135,-0.0026407319203677337,0.00023749520518423495,0.006719250216661459,0.004881230456579377,11344.924379987899,11504.863874293744
2012-12,58.34455490112305,23.444852828979492,56.56389236450195,162.02000427246094,38.46836471557617,67.55834197998047,0.012928876378062837,0.04244157759263545,-0.008765023814090278,-0.02426979045607558,0.03722756097237356,0.00024850874982362825,0.008793355677100184,0.0042513163012015895,11444.68433519094,11553.774689625636
2013-01,61.50545120239258,24.343257904052734,56.17346954345703,161.1999969482422,39.906524658203125,67.56632232666016,0.05417637184183377,0.038319928114999735,-0.00690233300298726,-0.005061148639644464,0.03738552322824962,0.00011812525952836772,0.027062022263661105,0.029744889903905353,11754.40063747045,11897.44044574308
2013-02,62.293636322021484,24.06374168395996,56.47433853149414,153.0,40.39175796508789,67.60708618164062,0.01281488232701955,-0.011482284795012565,0.005356069163652943,-0.05086846838387371,0.012159247417327324,0.0006033161725658154,0.00029390884357645685,0.009831357061672907,11757.855359768744,12014.408430885167
2013-03,64.7533187866211,24.350595474243164,56.5189208984375,154.4499969482422,41.551883697509766,67.62963104248047,0.03948529271729284,0.011920581348095594,0.0007894269875954318,0.009477104236877087,0.028721843040964368,0.0003334689026424087,0.02018003705689838,0.02400694642541388,11995.129316638528,12302.837690418466
2013-04,65.7930679321289,25.620601654052734,57.092689514160156,142.77000427246094,44.35029983520508,67.67597961425781,0.016057078849256445,0.05215503584513659,0.010151797072589064,-0.0756231330952718,0.067347515652173,0.0006853293602655519,0.01262336512571508,0.013694966138589493,12146.548213732625,12471.324635997309
2013-05,67.40068817138672,24.858604431152344,55.99325180053711,133.9199981689453,41.69916915893555,67.58554077148438,0.02443449271762499,-0.029741581918700022,-0.01925706641216063,-0.06198785346133606,-0.05977706320183829,-0.001336350700631539,-0.00875616284505226,0.006957869065710741,12040.191059567904,12558.098479890552
2013-06,66.43233489990234,24.163768768310547,55.07061004638672,119.11000061035156,40.87275314331055,67.5190200805664,-0.014367112528911319,-0.02795151533008189,-0.016477731235133186,-0.11058839427335088,-0.01981852474026835,-0.0009842444132078798,-0.026157983004869007,-0.015211360011400065,11725.24394645635,12367.07272285432
2013-07,70.24937438964844,25.419475555419922,55.2800407409668,127.95999908447266,41.24150466918945,67.62881469726562,0.05745755429938537,0.05196651230813654,0.0038029485128940888,0.0743010530498811,0.009021939984956928,0.0016261287051886342,0.03969124443369354,0.035995711984788854,12190.633469979835,12812.234310681124
2013-08,68.11988067626953,25.0122127532959,54.80559158325195,134.6199951171875,38.36280059814453,67.56306457519531,-0.030313347725594797,-0.0160216838949373,-0.008582648481357591,0.052047484216675155,-0.0698011407230622,-0.0009722205300305431,-0.015008173435805034,-0.021621068027899912,12007.674328570049,12535.220121060494
2013-09,70.77457427978516,26.97579574584961,55.41607666015625,128.17999267578125,39.698543548583984,67.71378326416016,0.038970908010419025,0.07850496922928052,0.011139102038100424,-0.047838379698351585,0.03481870274361709,0.0022307852657734717,0.027217520528719164,0.027838185621491585,12334.493451110076,12884.177905596833
2013-10,73.79449462890625,27.841365814208984,55.891231536865234,127.73999786376953,41.493202209472656,67.76026153564453,0.042669565728262526,0.0320869151188079,0.008574314627556756,-0.003432632525768975,0.0452071663206568,0.0006863930686469288,0.025975856932903676,0.029031465287980215,12654.892488335949,13258.224469227329
2013-11,75.7889633178711,28.02538299560547,55.726776123046875,120.69999694824219,39.314395904541016,67.8236312866211,0.027027337188153755,0.006609488292509402,-0.002942418860638063,-0.05511195422936577,-0.052509957991003886,0.0009352052300333202,0.0029768203429932924,0.015039434768637026,12692.56382973362,13457.620671280221
